product_name,category,old_price,price,discount_percentage,product_url,image_url,source_page,page_number,raw_text
KARCHER PACK NETTOYEUR K2 + CA...,Nettoyage,3097.0,1999.0,35,https://www.electroplanet.ma/p3136035-pack-nettoyeur-k2-canon-mousse-brosse-karcher.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3136035_10.jpeg,promotions,1,KARCHER PACK NETTOYEUR K2 + CA... Nouveau Promo Prix normal 3 097 DH Prix Spécial 1 999 DH -35% Ajouter au panier
WHIRLPOOL REF WTMF 706462 XNA/E ...,Réfrigérateur,7798.0,7499.0,3,https://www.electroplanet.ma/pcac31328763-pack-ref-wtmf-706462-xna-e-406-l-dnf-a-inox-whp-grill-panini-elx-sma-552-2000w-elexia.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/c/o/congverwtz551101snastat90lsilverawhp_3.png,promotions,1,WHIRLPOOL REF WTMF 706462 XNA/E ... Promo Prix normal 7 798 DH Prix Spécial 7 499 DH -3% Ajouter au panier
BEKO SBS V1 GN_1406223PXNF ...,Autre,16989.0,16490.0,2,https://www.electroplanet.ma/pcac28169943-pack-sbs-v1-gn-1406223pxnf-670l-inox-a-beko-machine-a-cafe-filtre-cfm-7353-i-beko.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/a/r/artboard_5.png,promotions,1,BEKO SBS V1 GN_1406223PXNF ... Promo Prix normal 16 989 DH Prix Spécial 16 490 DH -2% Ajouter au panier
BEKO COMB RCNE730E40SXB NF ...,Réfrigérateur,13489.0,12990.0,3,https://www.electroplanet.ma/pcac30760803-pack-comb-rcne730e40sxb-nf-646l-silver-beko-machine-a-cafe-filtre-cfm-7353-i-beko.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/a/r/artboard_4.png,promotions,1,BEKO COMB RCNE730E40SXB NF ... Promo Prix normal 13 489 DH Prix Spécial 12 990 DH -3% Ajouter au panier
MSI MSI ECRAN PC GAMING MA...,Ordinateur,2099.0,1899.0,9,https://www.electroplanet.ma/p3136247-msi-ecran-pc-gaming-mag-274qf-e20.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3136247-cb-65749_1.png,promotions,1,MSI MSI ECRAN PC GAMING MA... Promo Prix normal 2 099 DH Prix Spécial 1 899 DH -9% Ajouter au panier
SAMSUNG ECOUTEURS GALAXY BUDS3...,Téléphone,1299.0,1199.0,7,https://www.electroplanet.ma/p3104900-ecouteurs-galaxy-buds3-fe-black-samsung.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3104900-cb-62704_1.png,promotions,1,SAMSUNG ECOUTEURS GALAXY BUDS3... Promo Prix normal 1 299 DH Prix Spécial 1 199 DH -7% Ajouter au panier
SAMSUNG ECOUTEURS GALAXY BUDS...,Téléphone,1299.0,1199.0,7,https://www.electroplanet.ma/p3104899-ecouteurs-galaxy-buds3-fe-gray-samsung.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3104899-cb-62712_1.png,promotions,1,SAMSUNG ECOUTEURS GALAXY BUDS... Promo Prix normal 1 299 DH Prix Spécial 1 199 DH -7% Ajouter au panier
WHIRLPOOL REF WTMF 706462 XNA/E ...,Réfrigérateur,7999.0,7499.0,6,https://www.electroplanet.ma/p3132876-ref-wtmf-706462-xna-e-406-l-dnf-a-inox-whp.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3132876-cb-65446_1.png,promotions,1,WHIRLPOOL REF WTMF 706462 XNA/E ... Promo Prix normal 7 999 DH Prix Spécial 7 499 DH -6% Ajouter au panier
ROWENTA ASPIRATEUR BALAI XFORC...,Nettoyage,3499.0,1999.0,42,https://www.electroplanet.ma/p3134948-aspirateur-balai-xforce-rh2099wo-18-5v-rowenta.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,1,ROWENTA ASPIRATEUR BALAI XFORC... Nouveau Promo Prix normal 3 499 DH Prix Spécial 1 999 DH -42% Ajouter au panier
SOLAC MACHINE A CAFE ESPRESS...,Cuisine,1499.0,1299.0,13,https://www.electroplanet.ma/p3134950-machine-a-cafe-espresso-tasty-moka-850w-solac.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,1,SOLAC MACHINE A CAFE ESPRESS... Nouveau Promo Prix normal 1 499 DH Prix Spécial 1 299 DH -13% Ajouter au panier
JATA CAFETIERE A ESPRESSO J...,Cuisine,1499.0,999.0,33,https://www.electroplanet.ma/p3134681-cafetiere-a-espresso-jeca2525-850w-20bar-jata.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,1,JATA CAFETIERE A ESPRESSO J... Nouveau Promo Prix normal 1 499 DH Prix Spécial 999 DH -33% Ajouter au panier
BOSCH COMB SERIE 4 KGN497ICT...,Réfrigérateur,10499.0,9999.0,4,https://www.electroplanet.ma/p3134229-comb-serie-4-kgn497ict-70-cm-inox-bosch.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,1,BOSCH COMB SERIE 4 KGN497ICT... Nouveau Promo Prix normal 10 499 DH Prix Spécial 9 999 DH -4% Ajouter au panier
