combined_text,price,discount_percentage,budget,min_discount,budget_match,discount_match,label
climatiseur pour maison sep WHIRLPOOL REF WTMS 701461 XNA 43... Réfrigérateur,5799.0,7.0,7000,5,1,1,0
congélateur grande capacité sep ASUS ASUSVIVOBOOK X1502VA M... Autre,10999.0,15.0,8000,10,0,1,0
climatiseur pour maison sep AWEI SUPPORT TÉLÉPHONIQUE... Autre,59.0,60.0,7000,5,1,1,0
imprimante ordinateur bureau sep AEG FOUR OA5AE23AB STEAMBA... Cuisine,7499.0,6.0,5000,5,0,1,0
aspirateur nettoyage maison sep HISENSE ASPIRATEUR SANS SAC HV... Nettoyage,1199.0,40.0,4000,10,1,1,1
accessoires téléphone écouteurs chargeur sep BEKO MAL BM3WFT38200BS 8KG ... Machine à laver,3499.0,5.0,2000,10,0,0,0
ordinateur écran gaming sep TAURUS SECHE CHEVEUX FASHION2... Autre,399.0,20.0,10000,10,1,1,0
ordinateur écran gaming sep MARS GAMING VENTIL CASE MLONE240 W... Ordinateur,299.0,76.0,10000,10,1,1,1
produits cuisine air fryer four machine café sep UFESA MACHINE A CAFE EXPRESS... Cuisine,2999.0,57.0,4000,10,1,1,1
accessoires téléphone écouteurs chargeur sep LEXAR CLE USB 2.0 V40 128G LEXAR Autre,159.0,5.0,2000,10,1,0,0
accessoires téléphone écouteurs chargeur sep WHIRLPOOL CONG VER WTZ 551101 SN... Congélateur,2499.0,7.0,2000,10,0,0,0
accessoires téléphone écouteurs chargeur sep ORAIMO ECOUTEUR TWS FREEPODS ... Autre,359.0,10.0,2000,10,1,1,1
imprimante ordinateur bureau sep MARS GAMING CLAVIER GAMER MK023WFR... Ordinateur,149.0,40.0,5000,5,1,1,1
"smart tv pas cher sep ELEXIA LED 55EAUD-E24 55"" SMA... TV",3199.0,36.0,8000,10,1,1,1
ordinateur écran gaming sep MARS GAMING MIC GAMER MMICSEW HIGH... Ordinateur,299.0,45.0,10000,10,1,1,1
produits cuisine air fryer four machine café sep MOULINEX PANINI ULTRACOMPACT SM... Autre,199.0,42.0,4000,10,1,1,0
machine à laver économique sep HAIER LAVEVAISSELLE15CINOXHA... Autre,5599.0,16.0,6000,5,1,1,1
machine à laver économique sep UFESA MACHINE A CAFE EXPRESS... Cuisine,2999.0,57.0,6000,5,1,1,1
congélateur grande capacité sep BEKO COMB RCNE730E40SXB NF ... Réfrigérateur,12990.0,3.0,8000,10,0,0,0
accessoires téléphone écouteurs chargeur sep RIVACASE PACK BANANE 5411+PB 10... Autre,429.0,31.0,2000,10,1,1,0
produits cuisine air fryer four machine café sep ROWENTA BROSSEROTATIVECF9528F0... Nettoyage,599.0,40.0,4000,10,1,1,0
ordinateur écran gaming sep AOC MONITEUR ECRAN PC GA... Ordinateur,999.0,9.0,10000,10,1,0,1
machine à laver économique sep DELONGHI MACHINE EXPRESSO EC12.... Autre,4999.0,16.0,6000,5,1,1,1
accessoires téléphone écouteurs chargeur sep ARIETE MACHINE A CAFE AVEC BR... Cuisine,2599.0,23.0,2000,10,0,1,0
produits cuisine air fryer four machine café sep TEFAL SET 4 COUTEAUX STEACK ... Cuisine,199.0,20.0,4000,10,1,1,1
aspirateur nettoyage maison sep EPSON IMPRIMANTE ECOTANK L32... Ordinateur,1999.0,25.0,4000,10,1,1,0
aspirateur nettoyage maison sep ROWENTA DESHUMIDIFICATEUR DH52... Nettoyage,2499.0,28.0,4000,10,1,1,1
ordinateur écran gaming sep TAURUS POELE VITAL 26CM + POE... Autre,175.0,37.0,10000,10,1,1,0
aspirateur nettoyage maison sep HISENSE CONG COFFRE FC-26DT4SA... Congélateur,2699.0,22.0,4000,10,1,1,0
ordinateur écran gaming sep SAMSUNG QLED QA55Q6FAAUXMV SAMSUNG TV,5799.0,9.0,10000,10,1,0,0
accessoires téléphone écouteurs chargeur sep HISENSE LED 43A4Q HISENSE TV,2599.0,25.0,2000,10,0,1,0
réfrigérateur pas cher pour aid al adha sep SAMSUNG QLED QA65LS03FAUXMV SAMSUNG TV,10999.0,29.0,9000,5,0,1,0
smart tv pas cher sep HISENSE QLED 55Q7N HISENSE TV,5999.0,14.0,8000,10,1,1,1
réfrigérateur pas cher pour aid al adha sep UFESA ASPIRATEUR BALAI U5 DI... Nettoyage,1349.0,46.0,9000,5,1,1,0
smart tv pas cher sep HISENSE MINILED 55U7Q HISENSE TV,6999.0,17.0,8000,10,1,1,1
smart tv pas cher sep AWEI ECOUTEUR TWIN BLUETOOT... Autre,79.0,46.0,8000,10,1,1,0
ordinateur écran gaming sep PLAYSTATION PACK CONSOLE PS5® 1TO... Autre,7499.0,6.0,10000,10,1,0,0
imprimante ordinateur bureau sep SAMSUNG SMARTPHONE GALAXY A17 ... Téléphone,1899.0,4.0,5000,5,1,0,0
smart tv pas cher sep HAIER QLED H55Q80FUX HAIER TV,5199.0,25.0,8000,10,1,1,1
smart tv pas cher sep SAMSUNG LED UA85U8000FUXMV SAMSUNG TV,14499.0,19.0,8000,10,0,1,1
ordinateur écran gaming sep PLAYSTATION SUPPORT KX MY SPACESHI... Autre,399.0,20.0,10000,10,1,1,0
ordinateur écran gaming sep SAMSUNG BARRE DE SON HW-B400F/... Autre,1099.0,21.0,10000,10,1,1,0
imprimante ordinateur bureau sep SAMSUNG MONITOR 32 ODYSSEY OLE... Ordinateur,8999.0,30.0,5000,5,0,1,1
produits cuisine air fryer four machine café sep SAMSUNG NEO QLED QA55QN80FAUXM... TV,9799.0,12.0,4000,10,0,1,0
aspirateur nettoyage maison sep ITEL BUDSACE PRO ENC DARK B... Accessoires,89.0,61.0,4000,10,1,1,0
smart tv pas cher sep HISENSE QLED 50Q6N HISENSE TV,4799.0,20.0,8000,10,1,1,1
congélateur grande capacité sep BABYLISS BROSSE SOUFLANTE AS80E... Autre,589.0,7.0,8000,10,1,0,0
réfrigérateur pas cher pour aid al adha sep JBL JBL ECOUTEURS WAVE BUD... Accessoires,829.0,7.0,9000,5,1,1,0
climatiseur pour maison sep BOSCH FOUR SERIE 6 HJG852YS0... Cuisine,7699.0,3.0,7000,5,0,0,0
